SessionNum,TotalTrial,BlockName,BlockTrial,TrialType,FieldMove,VisFb,VTFx,VTFy,VTFz,TargX,TargY,TargZ
20,3519,C_20,1,1,xyz,0,1,1,1,4,1,4
20,3520,C_20,2,1,xyz,0,1,1,1,5,5,3
20,3521,C_20,3,1,xyz,0,1,1,1,3,2,3
20,3522,C_20,4,1,xyz,0,1,1,1,1,1,3
20,3523,C_20,5,1,xyz,0,1,1,1,2,5,4
20,3524,C_20,6,1,xyz,0,1,1,1,5,5,4
20,3525,C_20,7,1,xyz,0,1,1,1,5,4,1
20,3526,C_20,8,1,xyz,0,1,1,1,3,2,5
20,3527,C_20,9,1,xyz,0,1,1,1,5,3,5
20,3528,C_20,10,1,xyz,0,1,1,1,4,1,1
20,3529,C_20,11,1,xyz,0,1,1,1,1,2,5
20,3530,C_20,12,1,xyz,0,1,1,1,4,4,5
20,3531,C_20,13,1,xyz,0,1,1,1,3,1,3
20,3532,C_20,14,1,xyz,0,1,1,1,3,5,2
20,3533,C_20,15,1,xyz,0,1,1,1,5,2,4
20,3534,C_20,16,1,xyz,0,1,1,1,3,2,1
20,3535,C_20,17,1,xyz,0,1,1,1,2,1,3
20,3536,C_20,18,1,xyz,0,1,1,1,4,2,5
20,3537,C_20,19,1,xyz,0,1,1,1,1,3,1
20,3538,C_20,20,1,xyz,0,1,1,1,2,1,2
20,3539,C_20,21,1,xyz,0,1,1,1,1,3,4
20,3540,C_20,22,1,xyz,0,1,1,1,5,3,3
20,3541,C_20,23,1,xyz,0,1,1,1,1,3,4
20,3542,C_20,24,1,xyz,0,1,1,1,5,3,2
20,3543,C_20,25,1,xyz,0,1,1,1,5,4,4
20,3544,C_20,26,1,xyz,0,1,1,1,3,4,2
20,3545,C_20,27,1,xyz,0,1,1,1,5,5,2
20,3546,C_20,28,1,xyz,0,1,1,1,4,1,2
20,3547,C_20,29,1,xyz,0,1,1,1,3,3,2
20,3548,C_20,30,1,xyz,0,1,1,1,3,5,3
20,3549,C_20,31,1,xyz,0,1,1,1,5,1,1
20,3550,C_20,32,1,xyz,0,1,1,1,1,1,4
20,3551,C_20,33,1,xyz,0,1,1,1,4,5,4
20,3552,C_20,34,1,xyz,0,1,1,1,1,4,5
20,3553,C_20,35,1,xyz,0,1,1,1,5,2,4
20,3554,C_20,36,1,xyz,0,1,1,1,1,5,3
20,3555,C_20,37,1,xyz,0,1,1,1,2,4,1
20,3556,C_20,38,1,xyz,0,1,1,1,5,4,4
20,3557,C_20,39,1,xyz,0,1,1,1,2,1,3
20,3558,C_20,40,1,xyz,0,1,1,1,5,4,2
20,3559,C_20,41,1,xyz,0,1,1,1,2,3,3
20,3560,C_20,42,1,xyz,0,1,1,1,5,3,1
20,3561,C_20,43,1,xyz,0,1,1,1,4,5,3
20,3562,C_20,44,1,xyz,0,1,1,1,4,3,4
20,3563,C_20,45,1,xyz,0,1,1,1,5,4,2
20,3564,C_20,46,1,xyz,0,1,1,1,3,3,5
20,3565,C_20,47,1,xyz,0,1,1,1,2,2,2
20,3566,C_20,48,1,xyz,0,1,1,1,2,5,2
20,3567,C_20,49,1,xyz,0,1,1,1,2,2,2
20,3568,C_20,50,1,xyz,0,1,1,1,3,1,5
20,3569,C_20,51,1,xyz,0,1,1,1,5,5,4
20,3570,C_20,52,1,xyz,0,1,1,1,5,2,5
20,3571,C_20,53,1,xyz,0,1,1,1,1,2,2
20,3572,C_20,54,1,xyz,0,1,1,1,2,2,4
20,3573,C_20,55,1,xyz,0,1,1,1,2,3,2
20,3574,C_20,56,1,xyz,0,1,1,1,1,5,1
20,3575,C_20,57,1,xyz,0,1,1,1,5,3,5
20,3576,C_20,58,1,xyz,0,1,1,1,3,1,2
20,3577,C_20,59,1,xyz,0,1,1,1,1,2,4
20,3578,C_20,60,1,xyz,0,1,1,1,2,4,4
20,3579,C_20,61,1,xyz,0,1,1,1,4,3,4
20,3580,C_20,62,1,xyz,0,1,1,1,4,2,1
20,3581,C_20,63,1,xyz,0,1,1,1,4,2,5
20,3582,C_20,64,1,xyz,0,1,1,1,5,4,1
20,3583,C_20,65,1,xyz,0,1,1,1,1,3,5
20,3584,C_20,66,1,xyz,0,1,1,1,4,4,4
20,3585,C_20,67,1,xyz,0,1,1,1,2,4,1
20,3586,C_20,68,1,xyz,0,1,1,1,4,1,4
20,3587,C_20,69,1,xyz,0,1,1,1,2,4,4
20,3588,C_20,70,1,xyz,0,1,1,1,4,4,2
20,3589,C_20,71,1,xyz,0,1,1,1,1,1,3
20,3590,C_20,72,1,xyz,0,1,1,1,4,4,3
20,3591,C_20,73,1,xyz,0,1,1,1,2,2,1
20,3592,C_20,74,1,xyz,0,1,1,1,1,2,3
20,3593,C_20,75,1,xyz,0,1,1,1,4,3,2
20,3594,C_20,76,1,xyz,0,1,1,1,2,1,5
20,3595,C_20,77,1,xyz,0,1,1,1,4,2,3
20,3596,C_20,78,1,xyz,0,1,1,1,1,5,2
20,3597,C_20,79,1,xyz,0,1,1,1,5,3,2
20,3598,C_20,80,1,xyz,0,1,1,1,3,1,3
20,3599,C_20,81,1,xyz,0,1,1,1,3,3,4
20,3600,C_20,82,1,xyz,0,1,1,1,4,1,2
20,3601,C_20,83,1,xyz,0,1,1,1,4,5,4
20,3602,C_20,84,1,xyz,0,1,1,1,3,1,4
20,3603,C_20,85,1,xyz,0,1,1,1,5,2,2
20,3604,C_20,86,1,xyz,0,1,1,1,3,3,4
20,3605,C_20,87,1,xyz,0,1,1,1,1,2,4
20,3606,C_20,88,1,xyz,0,1,1,1,3,2,5
20,3607,C_20,89,1,xyz,0,1,1,1,4,4,5
20,3608,C_20,90,1,xyz,0,1,1,1,1,4,1
20,3609,C_20,91,1,xyz,0,1,1,1,5,2,1
20,3610,C_20,92,1,xyz,0,1,1,1,1,4,1
20,3611,C_20,93,1,xyz,0,1,1,1,5,1,4
20,3612,C_20,94,1,xyz,0,1,1,1,2,2,1
20,3613,C_20,95,1,xyz,0,1,1,1,2,4,3
20,3614,C_20,96,1,xyz,0,1,1,1,3,4,1
20,3615,C_20,97,1,xyz,0,1,1,1,2,1,2
20,3616,C_20,98,1,xyz,0,1,1,1,5,5,2
20,3617,C_20,99,1,xyz,0,1,1,1,1,4,2
20,3618,C_20,100,1,xyz,0,1,1,1,4,5,5
20,3619,C_20,101,1,xyz,0,1,1,1,2,4,5
20,3620,C_20,102,1,xyz,0,1,1,1,4,3,3
20,3621,C_20,103,1,xyz,0,1,1,1,3,4,1
20,3622,C_20,104,1,xyz,0,1,1,1,2,4,3
20,3623,C_20,105,1,xyz,0,1,1,1,5,1,3
20,3624,C_20,106,1,xyz,0,1,1,1,5,5,5
20,3625,C_20,107,1,xyz,0,1,1,1,2,1,1
20,3626,C_20,108,1,xyz,0,1,1,1,4,4,4
20,3627,C_20,109,1,xyz,0,1,1,1,2,3,4
20,3628,C_20,110,1,xyz,0,1,1,1,1,2,2
20,3629,C_20,111,1,xyz,0,1,1,1,5,5,5
20,3630,C_20,112,1,xyz,0,1,1,1,4,2,1
20,3631,C_20,113,1,xyz,0,1,1,1,3,1,5
20,3632,C_20,114,1,xyz,0,1,1,1,5,2,1
20,3633,C_20,115,1,xyz,0,1,1,1,1,1,1
20,3634,C_20,116,1,xyz,0,1,1,1,3,3,1
20,3635,C_20,117,1,xyz,0,1,1,1,2,5,5
20,3636,C_20,118,1,xyz,0,1,1,1,4,5,3
20,3637,C_20,119,1,xyz,0,1,1,1,2,2,4
