SessionNum,TotalTrial,BlockName,BlockTrial,TrialType,FieldMove,VisFb,VTFx,VTFy,VTFz,TargX,TargY,TargZ
10,1613,C_10,1,1,xyz,0,1,1,1,1,4,2
10,1614,C_10,2,1,xyz,0,1,1,1,4,3,2
10,1615,C_10,3,1,xyz,0,1,1,1,4,1,3
10,1616,C_10,4,1,xyz,0,1,1,1,1,1,3
10,1617,C_10,5,1,xyz,0,1,1,1,5,5,1
10,1618,C_10,6,1,xyz,0,1,1,1,4,2,4
10,1619,C_10,7,1,xyz,0,1,1,1,4,4,5
10,1620,C_10,8,1,xyz,0,1,1,1,3,5,1
10,1621,C_10,9,1,xyz,0,1,1,1,5,1,4
10,1622,C_10,10,1,xyz,0,1,1,1,1,4,1
10,1623,C_10,11,1,xyz,0,1,1,1,3,5,4
10,1624,C_10,12,1,xyz,0,1,1,1,5,2,3
10,1625,C_10,13,1,xyz,0,1,1,1,5,4,4
10,1626,C_10,14,1,xyz,0,1,1,1,2,5,1
10,1627,C_10,15,1,xyz,0,1,1,1,5,3,5
10,1628,C_10,16,1,xyz,0,1,1,1,4,4,3
10,1629,C_10,17,1,xyz,0,1,1,1,1,3,5
10,1630,C_10,18,1,xyz,0,1,1,1,1,5,5
10,1631,C_10,19,1,xyz,0,1,1,1,3,4,2
10,1632,C_10,20,1,xyz,0,1,1,1,5,5,5
10,1633,C_10,21,1,xyz,0,1,1,1,5,2,5
10,1634,C_10,22,1,xyz,0,1,1,1,2,3,2
10,1635,C_10,23,1,xyz,0,1,1,1,4,3,2
10,1636,C_10,24,1,xyz,0,1,1,1,2,1,2
10,1637,C_10,25,1,xyz,0,1,1,1,2,4,5
10,1638,C_10,26,1,xyz,0,1,1,1,3,1,4
10,1639,C_10,27,1,xyz,0,1,1,1,4,2,2
10,1640,C_10,28,1,xyz,0,1,1,1,2,4,4
10,1641,C_10,29,1,xyz,0,1,1,1,5,4,1
10,1642,C_10,30,1,xyz,0,1,1,1,4,2,1
10,1643,C_10,31,1,xyz,0,1,1,1,3,4,3
10,1644,C_10,32,1,xyz,0,1,1,1,1,4,3
10,1645,C_10,33,1,xyz,0,1,1,1,5,4,5
10,1646,C_10,34,1,xyz,0,1,1,1,4,2,2
10,1647,C_10,35,1,xyz,0,1,1,1,2,4,2
10,1648,C_10,36,1,xyz,0,1,1,1,4,3,3
10,1649,C_10,37,1,xyz,0,1,1,1,5,1,1
10,1650,C_10,38,1,xyz,0,1,1,1,2,4,2
10,1651,C_10,39,1,xyz,0,1,1,1,4,5,2
10,1652,C_10,40,1,xyz,0,1,1,1,3,3,1
10,1653,C_10,41,1,xyz,0,1,1,1,3,2,4
10,1654,C_10,42,1,xyz,0,1,1,1,3,4,5
10,1655,C_10,43,1,xyz,0,1,1,1,3,3,1
10,1656,C_10,44,1,xyz,0,1,1,1,1,5,2
10,1657,C_10,45,1,xyz,0,1,1,1,4,2,1
10,1658,C_10,46,1,xyz,0,1,1,1,1,4,4
10,1659,C_10,47,1,xyz,0,1,1,1,4,5,4
10,1660,C_10,48,1,xyz,0,1,1,1,1,3,3
10,1661,C_10,49,1,xyz,0,1,1,1,3,2,3
10,1662,C_10,50,1,xyz,0,1,1,1,3,5,2
10,1663,C_10,51,1,xyz,0,1,1,1,5,2,2
10,1664,C_10,52,1,xyz,0,1,1,1,1,3,5
10,1665,C_10,53,1,xyz,0,1,1,1,5,3,3
10,1666,C_10,54,1,xyz,0,1,1,1,2,3,3
10,1667,C_10,55,1,xyz,0,1,1,1,4,5,5
10,1668,C_10,56,1,xyz,0,1,1,1,5,3,4
10,1669,C_10,57,1,xyz,0,1,1,1,2,3,1
10,1670,C_10,58,1,xyz,0,1,1,1,1,5,4
10,1671,C_10,59,1,xyz,0,1,1,1,3,3,4
10,1672,C_10,60,1,xyz,0,1,1,1,1,4,2
10,1673,C_10,61,1,xyz,0,1,1,1,3,5,2
10,1674,C_10,62,1,xyz,0,1,1,1,2,2,3
10,1675,C_10,63,1,xyz,0,1,1,1,1,2,1
10,1676,C_10,64,1,xyz,0,1,1,1,2,5,5
10,1677,C_10,65,1,xyz,0,1,1,1,2,5,3
10,1678,C_10,66,1,xyz,0,1,1,1,5,3,4
10,1679,C_10,67,1,xyz,0,1,1,1,5,4,1
10,1680,C_10,68,1,xyz,0,1,1,1,1,1,3
10,1681,C_10,69,1,xyz,0,1,1,1,1,4,4
10,1682,C_10,70,1,xyz,0,1,1,1,5,2,4
10,1683,C_10,71,1,xyz,0,1,1,1,2,5,1
10,1684,C_10,72,1,xyz,0,1,1,1,4,1,2
10,1685,C_10,73,1,xyz,0,1,1,1,1,5,5
10,1686,C_10,74,1,xyz,0,1,1,1,3,2,4
10,1687,C_10,75,1,xyz,0,1,1,1,5,2,2
10,1688,C_10,76,1,xyz,0,1,1,1,3,1,3
10,1689,C_10,77,1,xyz,0,1,1,1,2,1,1
10,1690,C_10,78,1,xyz,0,1,1,1,2,1,4
10,1691,C_10,79,1,xyz,0,1,1,1,4,4,4
10,1692,C_10,80,1,xyz,0,1,1,1,3,2,3
10,1693,C_10,81,1,xyz,0,1,1,1,1,1,5
10,1694,C_10,82,1,xyz,0,1,1,1,3,4,1
10,1695,C_10,83,1,xyz,0,1,1,1,1,2,5
10,1696,C_10,84,1,xyz,0,1,1,1,1,4,1
10,1697,C_10,85,1,xyz,0,1,1,1,2,1,4
10,1698,C_10,86,1,xyz,0,1,1,1,5,5,2
10,1699,C_10,87,1,xyz,0,1,1,1,3,3,2
10,1700,C_10,88,1,xyz,0,1,1,1,4,3,5
10,1701,C_10,89,1,xyz,0,1,1,1,2,2,2
10,1702,C_10,90,1,xyz,0,1,1,1,4,3,4
10,1703,C_10,91,1,xyz,0,1,1,1,3,5,3
10,1704,C_10,92,1,xyz,0,1,1,1,2,1,1
10,1705,C_10,93,1,xyz,0,1,1,1,3,5,3
10,1706,C_10,94,1,xyz,0,1,1,1,3,5,1
10,1707,C_10,95,1,xyz,0,1,1,1,1,5,2
10,1708,C_10,96,1,xyz,0,1,1,1,4,2,4
10,1709,C_10,97,1,xyz,0,1,1,1,4,5,1
10,1710,C_10,98,1,xyz,0,1,1,1,1,1,4
10,1711,C_10,99,1,xyz,0,1,1,1,4,5,1
10,1712,C_10,100,1,xyz,0,1,1,1,2,2,1
10,1713,C_10,101,1,xyz,0,1,1,1,4,1,5
10,1714,C_10,102,1,xyz,0,1,1,1,5,3,1
10,1715,C_10,103,1,xyz,0,1,1,1,3,2,5
10,1716,C_10,104,1,xyz,0,1,1,1,5,3,5
10,1717,C_10,105,1,xyz,0,1,1,1,2,5,4
10,1718,C_10,106,1,xyz,0,1,1,1,1,2,1
10,1719,C_10,107,1,xyz,0,1,1,1,2,4,3
10,1720,C_10,108,1,xyz,0,1,1,1,4,5,5
10,1721,C_10,109,1,xyz,0,1,1,1,3,2,1
10,1722,C_10,110,1,xyz,0,1,1,1,3,3,5
10,1723,C_10,111,1,xyz,0,1,1,1,2,3,1
10,1724,C_10,112,1,xyz,0,1,1,1,2,3,3
10,1725,C_10,113,1,xyz,0,1,1,1,2,1,2
10,1726,C_10,114,1,xyz,0,1,1,1,5,1,1
10,1727,C_10,115,1,xyz,0,1,1,1,5,5,2
10,1728,C_10,116,1,xyz,0,1,1,1,1,3,1
10,1729,C_10,117,1,xyz,0,1,1,1,3,1,5
10,1730,C_10,118,1,xyz,0,1,1,1,3,3,2
10,1731,C_10,119,1,xyz,0,1,1,1,5,1,3
10,1732,C_10,120,1,xyz,0,1,1,1,5,4,4
10,1733,C_10,121,1,xyz,0,1,1,1,1,3,2
10,1734,C_10,122,1,xyz,0,1,1,1,1,1,1
10,1735,C_10,123,1,xyz,0,1,1,1,4,3,3
10,1736,C_10,124,1,xyz,0,1,1,1,1,2,4
10,1737,C_10,125,1,xyz,0,1,1,1,2,4,4
10,1738,C_10,126,1,xyz,0,1,1,1,4,1,1
10,1739,C_10,127,1,xyz,0,1,1,1,1,2,2
10,1740,C_10,128,1,xyz,0,1,1,1,1,1,4
10,1741,C_10,129,1,xyz,0,1,1,1,4,4,3
10,1742,C_10,130,1,xyz,0,1,1,1,1,4,3
10,1743,C_10,131,1,xyz,0,1,1,1,1,2,2
10,1744,C_10,132,1,xyz,0,1,1,1,1,1,5
