SessionNum,TotalTrial,BlockName,BlockTrial,TrialType,FieldMove,VisFb,VTFx,VTFy,VTFz,TargX,TargY,TargZ
6,907,C_06,1,1,xyz,0,1,1,1,1,1,3
6,908,C_06,2,1,xyz,0,1,1,1,5,1,3
6,909,C_06,3,1,xyz,0,1,1,1,2,2,3
6,910,C_06,4,1,xyz,0,1,1,1,3,4,1
6,911,C_06,5,1,xyz,0,1,1,1,5,4,1
6,912,C_06,6,1,xyz,0,1,1,1,4,4,5
6,913,C_06,7,1,xyz,0,1,1,1,2,3,2
6,914,C_06,8,1,xyz,0,1,1,1,2,1,1
6,915,C_06,9,1,xyz,0,1,1,1,2,5,3
6,916,C_06,10,1,xyz,0,1,1,1,4,4,3
6,917,C_06,11,1,xyz,0,1,1,1,2,1,1
6,918,C_06,12,1,xyz,0,1,1,1,3,4,3
6,919,C_06,13,1,xyz,0,1,1,1,1,1,3
6,920,C_06,14,1,xyz,0,1,1,1,3,3,4
6,921,C_06,15,1,xyz,0,1,1,1,5,3,1
6,922,C_06,16,1,xyz,0,1,1,1,3,2,3
6,923,C_06,17,1,xyz,0,1,1,1,4,5,5
6,924,C_06,18,1,xyz,0,1,1,1,1,4,3
6,925,C_06,19,1,xyz,0,1,1,1,3,4,2
6,926,C_06,20,1,xyz,0,1,1,1,3,4,5
6,927,C_06,21,1,xyz,0,1,1,1,3,5,2
6,928,C_06,22,1,xyz,0,1,1,1,5,2,3
6,929,C_06,23,1,xyz,0,1,1,1,5,5,1
6,930,C_06,24,1,xyz,0,1,1,1,2,4,2
6,931,C_06,25,1,xyz,0,1,1,1,2,2,2
6,932,C_06,26,1,xyz,0,1,1,1,3,5,4
6,933,C_06,27,1,xyz,0,1,1,1,3,2,4
6,934,C_06,28,1,xyz,0,1,1,1,1,4,4
6,935,C_06,29,1,xyz,0,1,1,1,2,2,2
6,936,C_06,30,1,xyz,0,1,1,1,4,2,3
6,937,C_06,31,1,xyz,0,1,1,1,1,5,2
6,938,C_06,32,1,xyz,0,1,1,1,5,2,2
6,939,C_06,33,1,xyz,0,1,1,1,3,3,4
6,940,C_06,34,1,xyz,0,1,1,1,3,1,2
6,941,C_06,35,1,xyz,0,1,1,1,2,5,1
6,942,C_06,36,1,xyz,0,1,1,1,2,4,5
6,943,C_06,37,1,xyz,0,1,1,1,5,2,2
6,944,C_06,38,1,xyz,0,1,1,1,2,2,1
6,945,C_06,39,1,xyz,0,1,1,1,5,4,2
6,946,C_06,40,1,xyz,0,1,1,1,2,3,4
6,947,C_06,41,1,xyz,0,1,1,1,4,2,3
6,948,C_06,42,1,xyz,0,1,1,1,3,2,1
6,949,C_06,43,1,xyz,0,1,1,1,2,1,5
6,950,C_06,44,1,xyz,0,1,1,1,4,5,4
6,951,C_06,45,1,xyz,0,1,1,1,2,1,4
6,952,C_06,46,1,xyz,0,1,1,1,1,4,2
6,953,C_06,47,1,xyz,0,1,1,1,1,1,5
6,954,C_06,48,1,xyz,0,1,1,1,3,3,5
6,955,C_06,49,1,xyz,0,1,1,1,4,5,2
6,956,C_06,50,1,xyz,0,1,1,1,1,4,3
6,957,C_06,51,1,xyz,0,1,1,1,1,5,5
