SessionNum,TotalTrial,BlockName,BlockTrial,TrialType,FieldMove,VisFb,VTFx,VTFy,VTFz,TargX,TargY,TargZ
12,2013,C_12,1,1,xyz,0,1,1,1,5,2,3
12,2014,C_12,2,1,xyz,0,1,1,1,3,4,2
12,2015,C_12,3,1,xyz,0,1,1,1,3,3,5
12,2016,C_12,4,1,xyz,0,1,1,1,3,2,3
12,2017,C_12,5,1,xyz,0,1,1,1,4,4,1
12,2018,C_12,6,1,xyz,0,1,1,1,1,1,5
12,2019,C_12,7,1,xyz,0,1,1,1,5,1,1
12,2020,C_12,8,1,xyz,0,1,1,1,2,5,4
12,2021,C_12,9,1,xyz,0,1,1,1,3,1,5
12,2022,C_12,10,1,xyz,0,1,1,1,2,5,4
12,2023,C_12,11,1,xyz,0,1,1,1,4,5,5
12,2024,C_12,12,1,xyz,0,1,1,1,3,4,3
12,2025,C_12,13,1,xyz,0,1,1,1,1,2,1
12,2026,C_12,14,1,xyz,0,1,1,1,4,2,2
12,2027,C_12,15,1,xyz,0,1,1,1,2,5,1
12,2028,C_12,16,1,xyz,0,1,1,1,2,4,5
12,2029,C_12,17,1,xyz,0,1,1,1,1,3,3
12,2030,C_12,18,1,xyz,0,1,1,1,5,5,5
12,2031,C_12,19,1,xyz,0,1,1,1,4,1,3
12,2032,C_12,20,1,xyz,0,1,1,1,2,2,2
12,2033,C_12,21,1,xyz,0,1,1,1,3,4,2
12,2034,C_12,22,1,xyz,0,1,1,1,5,4,5
12,2035,C_12,23,1,xyz,0,1,1,1,3,2,5
12,2036,C_12,24,1,xyz,0,1,1,1,4,1,1
12,2037,C_12,25,1,xyz,0,1,1,1,1,1,5
12,2038,C_12,26,1,xyz,0,1,1,1,5,2,3
12,2039,C_12,27,1,xyz,0,1,1,1,5,4,4
12,2040,C_12,28,1,xyz,0,1,1,1,2,1,1
12,2041,C_12,29,1,xyz,0,1,1,1,5,3,5
12,2042,C_12,30,1,xyz,0,1,1,1,2,2,5
12,2043,C_12,31,1,xyz,0,1,1,1,5,2,2
12,2044,C_12,32,1,xyz,0,1,1,1,3,5,4
12,2045,C_12,33,1,xyz,0,1,1,1,3,1,2
12,2046,C_12,34,1,xyz,0,1,1,1,1,3,1
12,2047,C_12,35,1,xyz,0,1,1,1,4,2,3
12,2048,C_12,36,1,xyz,0,1,1,1,5,2,5
12,2049,C_12,37,1,xyz,0,1,1,1,1,2,4
12,2050,C_12,38,1,xyz,0,1,1,1,1,4,3
12,2051,C_12,39,1,xyz,0,1,1,1,4,1,2
12,2052,C_12,40,1,xyz,0,1,1,1,5,4,1
12,2053,C_12,41,1,xyz,0,1,1,1,2,1,2
