SessionNum,TotalTrial,BlockName,BlockTrial,TrialType,FieldMove,VisFb,VTFx,VTFy,VTFz,TargX,TargY,TargZ
5,707,C_05,1,1,xyz,0,1,1,1,5,4,5
5,708,C_05,2,1,xyz,0,1,1,1,1,5,3
5,709,C_05,3,1,xyz,0,1,1,1,4,4,4
5,710,C_05,4,1,xyz,0,1,1,1,5,1,1
5,711,C_05,5,1,xyz,0,1,1,1,1,2,2
5,712,C_05,6,1,xyz,0,1,1,1,5,2,5
5,713,C_05,7,1,xyz,0,1,1,1,4,1,1
5,714,C_05,8,1,xyz,0,1,1,1,3,2,5
5,715,C_05,9,1,xyz,0,1,1,1,2,5,4
5,716,C_05,10,1,xyz,0,1,1,1,4,1,2
5,717,C_05,11,1,xyz,0,1,1,1,2,1,2
5,718,C_05,12,1,xyz,0,1,1,1,2,4,3
5,719,C_05,13,1,xyz,0,1,1,1,5,3,5
5,720,C_05,14,1,xyz,0,1,1,1,3,4,2
5,721,C_05,15,1,xyz,0,1,1,1,2,5,4
5,722,C_05,16,1,xyz,0,1,1,1,2,3,2
5,723,C_05,17,1,xyz,0,1,1,1,1,4,4
5,724,C_05,18,1,xyz,0,1,1,1,5,1,4
5,725,C_05,19,1,xyz,0,1,1,1,4,3,2
5,726,C_05,20,1,xyz,0,1,1,1,1,4,2
5,727,C_05,21,1,xyz,0,1,1,1,4,4,1
5,728,C_05,22,1,xyz,0,1,1,1,2,3,4
5,729,C_05,23,1,xyz,0,1,1,1,5,4,1
5,730,C_05,24,1,xyz,0,1,1,1,2,2,2
5,731,C_05,25,1,xyz,0,1,1,1,2,2,5
5,732,C_05,26,1,xyz,0,1,1,1,5,4,4
5,733,C_05,27,1,xyz,0,1,1,1,3,5,1
5,734,C_05,28,1,xyz,0,1,1,1,4,3,3
5,735,C_05,29,1,xyz,0,1,1,1,5,1,4
5,736,C_05,30,1,xyz,0,1,1,1,4,1,1
5,737,C_05,31,1,xyz,0,1,1,1,3,4,3
5,738,C_05,32,1,xyz,0,1,1,1,4,4,5
5,739,C_05,33,1,xyz,0,1,1,1,4,2,4
5,740,C_05,34,1,xyz,0,1,1,1,2,4,4
5,741,C_05,35,1,xyz,0,1,1,1,3,5,1
5,742,C_05,36,1,xyz,0,1,1,1,4,3,4
5,743,C_05,37,1,xyz,0,1,1,1,2,3,2
5,744,C_05,38,1,xyz,0,1,1,1,1,1,4
5,745,C_05,39,1,xyz,0,1,1,1,5,3,4
5,746,C_05,40,1,xyz,0,1,1,1,3,4,3
5,747,C_05,41,1,xyz,0,1,1,1,3,2,3
5,748,C_05,42,1,xyz,0,1,1,1,2,5,3
5,749,C_05,43,1,xyz,0,1,1,1,2,3,3
5,750,C_05,44,1,xyz,0,1,1,1,5,4,5
5,751,C_05,45,1,xyz,0,1,1,1,3,2,1
5,752,C_05,46,1,xyz,0,1,1,1,1,2,1
5,753,C_05,47,1,xyz,0,1,1,1,2,4,3
5,754,C_05,48,1,xyz,0,1,1,1,2,1,4
5,755,C_05,49,1,xyz,0,1,1,1,3,5,2
5,756,C_05,50,1,xyz,0,1,1,1,3,1,4
5,757,C_05,51,1,xyz,0,1,1,1,2,3,4
5,758,C_05,52,1,xyz,0,1,1,1,3,1,3
5,759,C_05,53,1,xyz,0,1,1,1,5,1,3
5,760,C_05,54,1,xyz,0,1,1,1,4,2,1
5,761,C_05,55,1,xyz,0,1,1,1,2,1,4
5,762,C_05,56,1,xyz,0,1,1,1,5,3,1
5,763,C_05,57,1,xyz,0,1,1,1,2,2,2
5,764,C_05,58,1,xyz,0,1,1,1,3,1,4
5,765,C_05,59,1,xyz,0,1,1,1,5,1,3
5,766,C_05,60,1,xyz,0,1,1,1,1,3,3
5,767,C_05,61,1,xyz,0,1,1,1,3,4,5
5,768,C_05,62,1,xyz,0,1,1,1,5,2,2
5,769,C_05,63,1,xyz,0,1,1,1,4,3,5
