SessionNum,TotalTrial,BlockName,BlockTrial,TrialType,FieldMove,VisFb,VTFx,VTFy,VTFz,TargX,TargY,TargZ
7,1107,C_07,1,1,xyz,0,1,1,1,5,1,2
7,1108,C_07,2,1,xyz,0,1,1,1,3,4,2
7,1109,C_07,3,1,xyz,0,1,1,1,1,1,1
7,1110,C_07,4,1,xyz,0,1,1,1,5,2,5
7,1111,C_07,5,1,xyz,0,1,1,1,5,3,3
7,1112,C_07,6,1,xyz,0,1,1,1,1,3,2
7,1113,C_07,7,1,xyz,0,1,1,1,4,4,1
7,1114,C_07,8,1,xyz,0,1,1,1,1,5,3
7,1115,C_07,9,1,xyz,0,1,1,1,2,1,1
7,1116,C_07,10,1,xyz,0,1,1,1,4,4,3
7,1117,C_07,11,1,xyz,0,1,1,1,4,2,2
7,1118,C_07,12,1,xyz,0,1,1,1,2,1,5
7,1119,C_07,13,1,xyz,0,1,1,1,5,2,2
7,1120,C_07,14,1,xyz,0,1,1,1,5,3,4
7,1121,C_07,15,1,xyz,0,1,1,1,2,4,5
7,1122,C_07,16,1,xyz,0,1,1,1,4,2,4
7,1123,C_07,17,1,xyz,0,1,1,1,1,1,5
7,1124,C_07,18,1,xyz,0,1,1,1,5,1,1
7,1125,C_07,19,1,xyz,0,1,1,1,1,4,2
7,1126,C_07,20,1,xyz,0,1,1,1,3,1,5
7,1127,C_07,21,1,xyz,0,1,1,1,2,2,2
7,1128,C_07,22,1,xyz,0,1,1,1,2,4,5
7,1129,C_07,23,1,xyz,0,1,1,1,5,4,1
7,1130,C_07,24,1,xyz,0,1,1,1,4,4,4
7,1131,C_07,25,1,xyz,0,1,1,1,1,5,4
7,1132,C_07,26,1,xyz,0,1,1,1,3,3,1
7,1133,C_07,27,1,xyz,0,1,1,1,1,5,5
7,1134,C_07,28,1,xyz,0,1,1,1,3,1,4
7,1135,C_07,29,1,xyz,0,1,1,1,2,4,4
7,1136,C_07,30,1,xyz,0,1,1,1,5,2,3
7,1137,C_07,31,1,xyz,0,1,1,1,1,1,3
7,1138,C_07,32,1,xyz,0,1,1,1,4,5,5
7,1139,C_07,33,1,xyz,0,1,1,1,3,1,3
7,1140,C_07,34,1,xyz,0,1,1,1,4,4,5
7,1141,C_07,35,1,xyz,0,1,1,1,4,1,3
7,1142,C_07,36,1,xyz,0,1,1,1,5,4,4
7,1143,C_07,37,1,xyz,0,1,1,1,3,2,3
7,1144,C_07,38,1,xyz,0,1,1,1,2,1,5
7,1145,C_07,39,1,xyz,0,1,1,1,1,3,1
7,1146,C_07,40,1,xyz,0,1,1,1,4,3,2
7,1147,C_07,41,1,xyz,0,1,1,1,2,3,4
7,1148,C_07,42,1,xyz,0,1,1,1,4,2,3
7,1149,C_07,43,1,xyz,0,1,1,1,5,4,2
7,1150,C_07,44,1,xyz,0,1,1,1,3,5,3
7,1151,C_07,45,1,xyz,0,1,1,1,4,2,2
7,1152,C_07,46,1,xyz,0,1,1,1,4,1,5
7,1153,C_07,47,1,xyz,0,1,1,1,2,5,5
7,1154,C_07,48,1,xyz,0,1,1,1,5,4,5
7,1155,C_07,49,1,xyz,0,1,1,1,4,5,2
7,1156,C_07,50,1,xyz,0,1,1,1,5,1,3
7,1157,C_07,51,1,xyz,0,1,1,1,2,3,4
7,1158,C_07,52,1,xyz,0,1,1,1,4,1,3
7,1159,C_07,53,1,xyz,0,1,1,1,1,3,2
